Trip_Number	Customer_Number	Trip_Country	Customer Country	Trip Country CentroidX	Trip Country Centroid Y	Customer Country Centroid X	Customer Country Centroid Y
1000	10000	Malaysia	Hong Kong	1178	432	1225	278
1001	10001	Hong Kong	Hong Kong	1225	278	1225	278
1001	10001	Hong Kong	Hong Kong	1225	278	1225	278
1001	10001	Hong Kong	Hong Kong	1225	278	1225	278
1143	10001	United Arab Emirates	Hong Kong	727	310	1225	278
4730	10001	Fiji	Hong Kong	1489	512	1225	278
2154	10001	Thailand	Hong Kong	1160	352	1225	278
3541	10001	China	Hong Kong	1132	250	1225	278
5413	10001	China	Hong Kong	1132	250	1225	278
5460	10001	Cyprus	Hong Kong	819	248	1225	278
6101	10001	China	Hong Kong	1132	250	1225	278
3718	10002	Denmark	Hong Kong	709	135	1225	278
1002	10002	China	Hong Kong	1132	250	1225	278
1002	10002	China	Hong Kong	1132	250	1225	278
1002	10002	China	Hong Kong	1132	250	1225	278
1002	10002	China	Hong Kong	1132	250	1225	278
1002	10002	China	Hong Kong	1132	250	1225	278
1002	10002	China	Hong Kong	1132	250	1225	278
1002	10002	China	Hong Kong	1132	250	1225	278
2727	10002	Malaysia	Hong Kong	1178	432	1225	278
1001	10003	Hong Kong	Hong Kong	1225	278	1225	278
4007	10003	Thailand	Hong Kong	1160	352	1225	278
1003	10004	South Africa	South Africa	779	601	779	601
1004	10005	Germany	Malta	711	155	730	243
1004	10005	Germany	Malta	711	155	730	243
6721	10005	Croatia	Malta	735	189	730	243
6721	10005	Croatia	Malta	735	189	730	243
1005	10006	Japan	Hong Kong	1314	239	1225	278
1005	10006	Japan	Hong Kong	1314	239	1225	278
1012	10006	Thailand	Hong Kong	1160	352	1225	278
1012	10006	Thailand	Hong Kong	1160	352	1225	278
3150	10006	Thailand	Hong Kong	1160	352	1225	278
1001	10007	Hong Kong	Hong Kong	1225	278	1225	278
4007	10007	Thailand	Hong Kong	1160	352	1225	278
1006	10008	New Zealand	Hong Kong	1426	689	1225	278
1006	10008	New Zealand	Hong Kong	1426	689	1225	278
1006	10008	New Zealand	Hong Kong	1426	689	1225	278
1006	10008	New Zealand	Hong Kong	1426	689	1225	278
1006	10008	New Zealand	Hong Kong	1426	689	1225	278
2082	10008	China	Hong Kong	1132	250	1225	278
2082	10008	China	Hong Kong	1132	250	1225	278
2082	10008	China	Hong Kong	1132	250	1225	278
4675	10008	France	Hong Kong	676	183	1225	278
1000	10009	Malaysia	Greece	1178	432	764	220
2433	10009	Thailand	Greece	1160	352	764	220
1007	10010	France	Hong Kong	676	183	1225	278
1420	10010	United Arab Emirates	Hong Kong	727	310	1225	278
1420	10010	United Arab Emirates	Hong Kong	727	310	1225	278
4794	10010	Italy	Hong Kong	728	208	1225	278
1008	10011	China	Hong Kong	1132	250	1225	278
1008	10011	China	Hong Kong	1132	250	1225	278
1008	10011	China	Hong Kong	1132	250	1225	278
1008	10011	China	Hong Kong	1132	250	1225	278
1011	10011	China	Hong Kong	1132	250	1225	278
1011	10011	China	Hong Kong	1132	250	1225	278
1011	10011	China	Hong Kong	1132	250	1225	278
1011	10011	China	Hong Kong	1132	250	1225	278
1011	10011	China	Hong Kong	1132	250	1225	278
1008	10012	China	Hong Kong	1132	250	1225	278
1009	10012	China	Hong Kong	1132	250	1225	278
1357	10012	China	Hong Kong	1132	250	1225	278
1645	10012	China	Hong Kong	1132	250	1225	278
5663	10013	Indonesia	Singapore	1233	445	1179	432
1010	10013	Australia	Singapore	1310	582	1179	432
1891	10013	Japan	Singapore	1314	239	1179	432
2496	10013	Australia	Singapore	1310	582	1179	432
