Date of Booking	No of Occurance	Amount
1/1/2018	149	172168.97
1/2/2018	141	161715.87
1/3/2018	92	129843.66
1/4/2018	81	96292.2
1/5/2018	131	134953.79
1/6/2018	84	93718.15
1/7/2018	132	141789.52
1/8/2018	126	148552.67
1/9/2018	141	173702.61
1/10/2018	137	171682.12
1/11/2018	111	174007.17
1/12/2018	170	231707.98
1/13/2018	159	188016.78
1/14/2018	144	157940.43
1/15/2018	175	169953.09
1/16/2018	238	270743.76
1/17/2018	172	201059.45
1/18/2018	177	210688.34
1/19/2018	180	186326.7
1/20/2018	139	146527.41
1/21/2018	124	141409.22
1/22/2018	168	186429.52
1/23/2018	112	124778.12
1/24/2018	98	97090.14
1/25/2018	132	124257.88
1/26/2018	144	164142.82
1/27/2018	116	112972.73
1/28/2018	145	155400.11
1/29/2018	290	316502.5
1/30/2018	122	149722.33
1/31/2018	97	95567.11
2/1/2018	98	109576.05
2/2/2018	145	168810
2/3/2018	124	133453.4
2/4/2018	128	122508.77
2/5/2018	224	264483.05
2/6/2018	193	235112.46
2/7/2018	152	164603.76
2/8/2018	137	131601.74
2/9/2018	102	87002.22
2/10/2018	118	116513.27
2/11/2018	89	74394.7
2/12/2018	127	110302.54
2/13/2018	256	258998.8
2/14/2018	122	162476.1
2/15/2018	157	150894.91
2/16/2018	121	131774.43
2/17/2018	131	150713.17
2/18/2018	141	142473.43
2/19/2018	139	123996.43
2/20/2018	147	145494.46
2/21/2018	105	114062.03
2/22/2018	121	129953.7
2/23/2018	115	122978.9
2/24/2018	157	155375.17
2/25/2018	156	222266.31
2/26/2018	152	208356
2/27/2018	187	227586.02
2/28/2018	109	120103.3
3/1/2018	110	97473.12
3/2/2018	157	175653.44
3/3/2018	177	192210.59
3/4/2018	257	266595.26
3/5/2018	210	220141.36
3/6/2018	163	180304.28
3/7/2018	139	144132.81
3/8/2018	163	186136.37
3/9/2018	199	263273.9
3/10/2018	170	211419.66
3/11/2018	244	266164.42
3/12/2018	135	143512.21
3/13/2018	103	91122.27
3/14/2018	139	143663.68
3/15/2018	99	67154.75
3/16/2018	125	152116.43
3/17/2018	157	194129.78
3/18/2018	132	110774.19
3/19/2018	133	176127.27
3/20/2018	148	186865.83
3/21/2018	140	139888.91
3/22/2018	159	171775.91
3/23/2018	150	154158.65
3/24/2018	138	165873.45
3/25/2018	236	227706.85
3/26/2018	195	245706.39
3/27/2018	208	268479.29
3/28/2018	155	170016.03
3/29/2018	129	156770.13
3/30/2018	197	187412.8
