Achham	257477.00	231285.00	198188.00	185212.00	1680.00	Mangalsen	H	Seti
Arghakhanchi	197632.00	208391.00	180884.00	157304.00	1193.00	Sandhikharka	H	Lumbini
Baglung	268613.00	268937.00	232486.00	215228.00	1784.00	Baglung	H	Dhawalagiri
Baitadi	250898.00	234418.00	200716.00	179136.00	1519.00	Baitadi	H	Mahakali
Bajhang	195159.00	167026.00	139092.00	124010.00	3422.00	Chainpur	M	Seti
Bajura	134912.00	108781.00	92010.00	74649.00	2188.00	Martadi	M	Seti
Banke	491313.00	385840.00	285604.00	205323.00	2337.00	Nepalganj	T	Bheri
Bara	687708.00	559135.00	415718.00	318957.00	1190.00	Kalaiya	T	Narayani
Bardiya	426576.00	382649.00	290313.00	199044.00	2025.00	Gularia	T	Bheri
Bhaktapur	304651.00	225461.00	172952.00	159767.00	119.00	Bhaktapur	H	Bagmati
Bhojpur	182459.00	203018.00	198784.00	192689.00	1507.00	Bhojpur	H	Kosi
Chitwan	579984.00	472048.00	354488.00	259571.00	2218.00	Bharatpur	T	Narayani
Dadeldhura	142094.00	126162.00	104647.00	86853.00	1538.00	Dadeldhura	H	Mahakali
Dailekh	261770.00	225201.00	187400.00	166527.00	1502.00	Dailekh	H	Bheri
Dang Deokhuri	552583.00	462380.00	354413.00	266393.00	2955.00	Ghorahi	T	Rapti
Darchula	133274.00	121996.00	101683.00	90218.00	2322.00	Darchula	M	Mahakali
Dhading	336067.00	338658.00	278068.00	243401.00	1926.00	Dhadingbesi	H	Bagmati
Dhankuta	163412.00	166479.00	146386.00	129781.00	891.00	Dhankuta	H	Kosi
Dhanusa	754777.00	671364.00	543672.00	432569.00	1180.00	Janakpur	T	Janakpur
Dolakha	186557.00	204229.00	173236.00	150576.00	2191.00	Charikot	M	Janakpur
Dolpa	36700.00	29545.00	25013.00	22043.00	7889.00	Dunai	M	Karnali
Doti	211746.00	207066.00	167168.00	153135.00	2025.00	Dipayal	H	Seti
Gorkha	271061.00	288134.00	252524.00	231294.00	3610.00	Gorkha	H	Gandaki
Gulmi	280160.00	296654.00	266331.00	238113.00	1149.00	Tamghas	H	Lumbini
Humla	50858.00	40595.00	34383.00	20303.00	5655.00	Simikot	M	Karnali
Ilam	290254.00	282806.00	229214.00	178356.00	1703.00	Ilam	H	Mechi
Jajarkot	171304.00	134868.00	113958.00	99312.00	2230.00	Jajarkot	H	Bheri
Jhapa	812650.00	688109.00	593737.00	479743.00	1606.00	Chandragadhi	T	Mechi
Jumla	108921.00	89427.00	75964.00	68797.00	2531.00	Jumla	M	Karnali
Kailali	775709.00	616697.00	417891.00	257905.00	3235.00	Dhangadhi	T	Seti
Kalikot	136948.00	105580.00	88805.00	87638.00	1741.00	Manma	M	Karnali
Kanchanpur	451248.00	377899.00	257906.00	168971.00	1610.00	Mahendranagar	T	Mahakali
Kapilvastu	571936.00	481976.00	371778.00	270045.00	1738.00	Taulihawa	T	Lumbini
Kaski	492098.00	380527.00	292945.00	221272.00	2017.00	Pokhara	H	Gandaki
